Summit/Declaration,Date,Safety+Safe,Open,Key Shift
,,,,
BLETCHLEY ERA (UK),,,,
Bletchley Chair Statement,Nov 2023,17,2,Open-source = RISK
Bletchley Safety Testing,Nov 2023,27,0,Safety testing focus
Subtotal,,44,2,22:1 ratio
,,,,
SEOUL ERA (South Korea),,,,
Seoul Declaration,May 2024,14,0,Safety+Innovation+Inclusion
Seoul Safety Science,May 2024,14,1,"""Openness"" (1 mention only)"
Frontier AI Commitments,May 2024,14,0,Industry safety pledges
Subtotal,,42,1,42:1 ratio
,,,,
PARIS/INDIA ERA,,,,
Paris Statement,Feb 2025,5,4,"First ""open AI models"" language"
India-France Declaration,Feb 2025,4,6,Open-source = SOLUTION
Subtotal,,9,10,0.9:1 ratio (REVERSAL!)
,,,,
GRAND TOTAL,2023-2025,95,13,From 42:1 → 0.9:1 = 47X shift
